symbol,date,open,high,low,close,volume,adjclose,dividends
GOOG,2024-01-02 00:00:00+00:00,139.60000610351562,140.61500549316406,137.74000549316406,139.55999755859375,20071900,138.90208435058594,0.0
GOOG,2024-01-03 00:00:00+00:00,138.60000610351562,141.08999633789062,138.42999267578125,140.36000061035156,18974300,139.6983184814453,0.0
GOOG,2024-01-04 00:00:00+00:00,139.85000610351562,140.63499450683594,138.00999450683594,138.0399932861328,18253300,137.3892364501953,0.0
GOOG,2024-01-05 00:00:00+00:00,138.3520050048828,138.80999755859375,136.85000610351562,137.38999938964844,15433200,136.74232482910156,0.0
GOOG,2024-01-08 00:00:00+00:00,138.0,140.63999938964844,137.8800048828125,140.52999877929688,17645300,139.86752319335938,0.0
GOOG,2024-01-09 00:00:00+00:00,140.05999755859375,142.8000030517578,139.7899932861328,142.55999755859375,19579700,141.887939453125,0.0
GOOG,2024-01-10 00:00:00+00:00,142.52000427246094,144.52499389648438,142.4600067138672,143.8000030517578,16641900,143.1221160888672,0.0
GOOG,2024-01-11 00:00:00+00:00,144.89500427246094,146.66000366210938,142.21499633789062,143.6699981689453,17471100,142.99270629882812,0.0
GOOG,2024-01-12 00:00:00+00:00,144.33999633789062,144.74000549316406,143.36000061035156,144.24000549316406,13995200,143.56004333496094,0.0
GOOG,2024-01-16 00:00:00+00:00,143.42999267578125,145.83999633789062,143.05599975585938,144.0800018310547,19198900,143.4008026123047,0.0
GOOG,2024-01-17 00:00:00+00:00,142.91000366210938,143.41000366210938,140.50999450683594,142.88999938964844,17884500,142.21640014648438,0.0
GOOG,2024-01-18 00:00:00+00:00,143.44000244140625,145.5850067138672,143.35000610351562,144.99000549316406,18876800,144.30650329589844,0.0
GOOG,2024-01-19 00:00:00+00:00,146.30499267578125,148.0399932861328,145.8000030517578,147.97000122070312,27170900,147.27244567871094,0.0
GOOG,2024-01-22 00:00:00+00:00,148.7100067138672,150.01499938964844,147.5800018310547,147.7100067138672,21829200,147.01368713378906,0.0
GOOG,2024-01-23 00:00:00+00:00,147.72000122070312,148.86000061035156,147.19000244140625,148.67999267578125,14113600,147.97911071777344,0.0
GOOG,2024-01-24 00:00:00+00:00,150.2899932861328,151.57000732421875,149.83999633789062,150.35000610351562,19245000,149.64125061035156,0.0
GOOG,2024-01-25 00:00:00+00:00,151.74000549316406,154.75999450683594,151.22000122070312,153.63999938964844,21495100,152.9157257080078,0.0
GOOG,2024-01-26 00:00:00+00:00,152.8699951171875,154.11000061035156,152.8000030517578,153.7899932861328,19494500,153.0650177001953,0.0
GOOG,2024-01-29 00:00:00+00:00,153.63999938964844,155.1999969482422,152.9199981689453,154.83999633789062,20909300,154.1100616455078,0.0
GOOG,2024-01-30 00:00:00+00:00,154.00999450683594,155.0399932861328,152.77499389648438,153.0500030517578,26578900,152.32852172851562,0.0
GOOG,2024-01-31 00:00:00+00:00,145.38999938964844,145.58999633789062,141.5500030517578,141.8000030517578,43908600,141.1315460205078,0.0
GOOG,2024-02-01 00:00:00+00:00,143.69000244140625,144.6199951171875,142.25999450683594,142.7100067138672,25526900,142.03724670410156,0.0
GOOG,2024-02-02 00:00:00+00:00,140.88999938964844,143.8800048828125,138.1699981689453,143.5399932861328,42116900,142.8633270263672,0.0
GOOG,2024-02-05 00:00:00+00:00,144.0399932861328,146.6699981689453,143.91000366210938,144.92999267578125,29254400,144.24676513671875,0.0
GOOG,2024-02-06 00:00:00+00:00,145.9600067138672,146.74000549316406,144.52000427246094,145.41000366210938,21517700,144.7245330810547,0.0
GOOG,2024-02-07 00:00:00+00:00,146.1199951171875,147.0,145.2100067138672,146.67999267578125,21436100,145.988525390625,0.0
GOOG,2024-02-08 00:00:00+00:00,146.97000122070312,147.61000061035156,146.4199981689453,147.22000122070312,18241300,146.52598571777344,0.0
GOOG,2024-02-09 00:00:00+00:00,147.9499969482422,150.69500732421875,147.42999267578125,150.22000122070312,21877700,149.51185607910156,0.0
GOOG,2024-02-12 00:00:00+00:00,149.5399932861328,150.58999633789062,148.55999755859375,148.72999572753906,17236100,148.02886962890625,0.0
GOOG,2024-02-13 00:00:00+00:00,146.07000732421875,148.0399932861328,145.11000061035156,146.3699951171875,18138500,145.6799774169922,0.0
GOOG,2024-02-14 00:00:00+00:00,147.3699951171875,147.8300018310547,145.55499267578125,147.13999938964844,16651800,146.4463653564453,0.0
GOOG,2024-02-15 00:00:00+00:00,144.4600067138672,144.75999450683594,141.8800048828125,143.94000244140625,26724300,143.26144409179688,0.0
GOOG,2024-02-16 00:00:00+00:00,144.2100067138672,144.47999572753906,141.52000427246094,141.75999450683594,21849700,141.0917205810547,0.0
